Average Estimated Total Submitted Charges,Average Estimated Total Submitted Charges,Average Estimated Total Submitted Charges,Average Medicare Allowed Amount,Average Medicare Allowed Amount,Average Medicare Allowed Amount,Average Medicare Payment Amount,Average Medicare Payment Amount,Average Medicare Payment Amount,Outlier Comprehensive APC Services,Outlier Comprehensive APC Services,Outlier Comprehensive APC Services,Average Medicare Outlier Amount,Average Medicare Outlier Amount,Average Medicare Outlier Amount,medicare provider number
2015,2016,2017,2015,2016,2017,2015,2016,2017,2015,2016,2017,2015,2016,2017,
64387.977140993244,56814.37597807317,38878.20107055188,10903.362669491526,7933.020222529588,5187.292172803641,9738.082478813556,6883.070774381441,4437.84989415796,0.0,0.0,7.1875,0.0,0.0,847.2381007712463,100001
41317.05194612101,36286.21755174296,27180.966303909187,11218.563224449324,8141.934990077353,5162.442602809748,10054.472616128982,7096.89862812313,4404.90723051749,0.0,0.0,0.0,0.0,0.0,0.0,100002
83398.09087604638,78878.10444362003,63052.53549708021,9808.881915226937,7882.774856353129,5309.168079857311,8726.224990501778,6865.305724466846,4536.352169827453,7.636363636363637,22.75,19.045454545454547,472.8729125619828,869.8640363340955,1253.2725506018232,100006
83608.61351860085,71803.59299508588,53440.05929025761,11703.738924246509,9411.925967104924,6568.681722858362,10545.372207023334,8317.743872894476,5720.357327118101,5.083333333333333,14.65,14.4,464.89822477405556,607.7045023301421,700.3509473624016,100007
66748.0785801816,57832.006586587115,41010.847950697134,12261.815134046683,8894.548106820259,5239.905698565614,11057.501717434074,7841.531195831558,4470.530839270622,8.75,25.11111111111111,20.166666666666668,637.113738586955,911.1392728474784,1008.5849670747443,100008
67580.5890331556,55675.86917226168,41673.25003733301,11590.242232893877,8157.844986582355,5703.162585966335,10448.19605821395,7162.152907177889,4935.585767817512,0.0,3.5,4.384615384615385,0.0,293.63691510416663,446.57898320183995,100009
45233.94491726382,34892.68645408821,26764.881348741197,9251.5423190904,6729.992830514697,5239.401539144623,8159.120865694641,5769.6346220637015,4504.467595357782,1.7,1.3888888888888888,0.0,60.9050976470588,41.202270666666664,0.0,10001
64002.262521031706,59766.35977112742,43411.99836977968,11699.83724774278,10209.482342627143,6919.421457274542,10530.900233239783,9112.340223361594,6096.957559475905,0.0,9.2,9.619047619047619,0.0,276.5362222043339,459.5709112900984,100012
40998.900842391275,24273.311060774988,11917.680569443362,8813.348943014706,5817.030633545915,3032.017033203856,7600.902755514705,4836.814986521191,2450.9258481784527,0.0,0.0,0.0,0.0,0.0,0.0,100014
54417.89838265565,39690.05988958448,27669.800454983666,11149.574451724366,7871.438860196932,5164.376560502687,9975.570964795545,6854.134673201777,4411.279826695776,0.0,1.8333333333333333,6.214285714285714,0.0,166.18453939393933,344.4832141007923,100017
39068.94351964102,36477.9982263507,29070.878059169914,10526.53523429883,8345.303168149283,6196.748170113887,9404.768782478115,7296.400816816917,5384.642031932245,0.0,1.0666666666666667,1.3214285714285714,0.0,95.06490000000001,104.74185866666643,100018
57597.85049717854,56366.52259033142,41916.16879466079,10181.281939831752,9008.709314960974,6145.279165941105,9058.412748110237,7915.260530513384,5359.338724496602,0.0,3.6666666666666665,2.8,0.0,263.0857444444444,319.56735569230705,100019
46295.02438738457,35235.05049615673,17707.280989604704,14206.918581011343,8090.212852869407,3333.377254510437,13005.345608875119,7089.498234708563,2674.383550007341,4.0,25.0,7.333333333333333,712.2716222222201,1091.4266124999967,358.08840139284445,100022
88168.47984435523,76537.32005916403,63561.68710142986,10380.102178078867,7963.555504358991,4986.209979359497,9277.665035221722,6941.061635396367,4286.285065251557,4.5,8.5,0.0,356.6456833333325,502.5965791987166,0.0,100023
55233.19848301526,55166.94738277094,31690.150484094887,9553.07712589913,8825.735199028419,4677.609895646894,8444.576545962635,7770.199547314347,3961.5254051666843,29.5,45.92857142857143,27.6875,3431.6858748319987,2408.7996733665022,1672.9507403659445,100025
58060.97893600296,48042.83075957173,34125.08920743844,13671.852518270764,9067.02353334407,5741.145156443954,12458.955581796556,8031.928788938348,4975.063310609822,0.0,0.0,0.0,0.0,0.0,0.0,100026
45586.97572420633,36144.43638291165,25357.999416606363,11577.545914285709,5993.220205944403,3486.6860176832556,10403.918414285703,5001.775218000466,2871.0062339816636,0.0,0.0,2.7333333333333334,0.0,0.0,189.28378225442734,100028
63472.94585996235,45478.17112733082,50498.027334422375,7195.6867105263145,4578.457650932395,3422.814583282782,6026.998815789472,3759.034205960699,2745.8116367557573,0.0,0.0,0.0,0.0,0.0,0.0,100029
52768.48580357138,64874.78713034301,36643.832418950085,6408.478928571427,5623.164954926666,4515.12866160371,5332.281547619047,4745.080669212378,3840.6439067230494,0.0,11.666666666666666,2.2,0.0,1897.6461228758135,346.128694545454,100030
73740.86075825205,54624.67236461215,46859.54866145206,6346.876666666665,4443.564929478607,3534.6767280407767,5273.501666666665,3566.942600935826,2853.4323368592036,,,0.0,,,0.0,100032
51321.928231202975,38498.66253617254,27544.77318836072,13211.274928451096,9266.04004935123,5362.96128874754,11993.262499563674,8189.867334569019,4651.476011183307,0.0,0.0,0.0,0.0,0.0,0.0,100034
77198.59003527861,67356.313675092,53466.96391598794,12483.515363435032,8709.95690366389,5981.580387150981,11302.963472722082,7672.264812345555,5183.968042655005,0.0,0.0,0.0,0.0,0.0,0.0,100035
52499.266530438836,44784.43562628324,33882.64823674122,13584.084517339501,9216.485617820463,5717.9401505808855,12368.641762728163,8154.130463143418,4965.377394481658,5.857142857142857,4.6,4.052631578947368,205.3796243902429,229.885965806451,162.28414769736844,100038
83301.59001984121,58202.75264001927,34933.32934532993,16443.70626984127,12372.341853680342,5988.822111653873,15181.67626984127,11296.65230364227,5232.106974590365,0.0,0.0,0.0,0.0,0.0,0.0,100039
74639.45167687455,62961.324133259935,46629.85526075733,11766.551674315955,9262.826346591339,6083.520987045703,10604.914418044771,8201.816970434027,5282.593619433911,16.818181818181817,12.5625,5.966666666666667,140.2398396068791,235.3817220497925,134.47256666666652,100040
,17495.04368253965,16714.537478478935,,2557.689022222215,2336.815825023218,,2036.5879666666651,1857.0099667549964,,0.0,0.0,,0.0,0.0,100043
48829.44133656367,46298.5912480589,38956.5133643037,10674.533189662778,8471.313163396637,5919.372648176289,9529.561138186593,7367.066825289613,5108.606046917525,0.0,1.9375,1.52,0.0,105.28673519736813,110.8483898092304,100044
53280.88464726626,40552.406831036256,27128.007924382113,10063.544761904732,6421.9987919289015,4042.2925652939816,8833.544761904734,5464.400562452588,3335.934504038334,0.0,0.0,0.0,0.0,0.0,0.0,100045
92051.66147936323,62669.49546766186,45740.99217437585,13634.264531249999,8396.418151020227,5431.9427577965425,12380.62546875,7365.553904040516,4688.814037029567,0.0,28.833333333333332,7.538461538461538,0.0,896.775134233285,615.066871582627,100046
68437.82722222191,54033.84254640514,32775.092525706736,9376.912222222221,5451.2800542483665,3130.6200134472374,8116.91222222222,4502.818399836602,2564.0758467805704,0.0,0.0,0.0,0.0,0.0,0.0,100047
,11015.276595744599,11410.9056603773,,1924.35,1949.95,,1533.22,1553.62,,0.0,0.0,,0.0,0.0,100048
70186.94812559293,61685.65435362335,51940.767628652,9007.192500000001,6260.2061436494205,3404.3804112022303,7766.030000000001,5289.899568236885,2785.8315871481013,0.0,0.0,4.733333333333333,0.0,0.0,632.1613499797973,100049
29962.581981015974,19080.71154223727,11361.150834207889,7376.618156862748,6003.244735434807,3366.565046881961,6283.24698039216,5032.312944932083,2735.9510889280004,0.0,0.0,0.0,0.0,0.0,0.0,10005
65081.156229508,32289.5863560615,18759.620448623547,13419.26,6485.8772241080105,1906.7846220395102,12159.26,5650.566075280977,1512.2421824763767,0.0,0.0,0.0,0.0,0.0,0.0,100050
79173.87757020754,58640.89724898383,40974.84305239678,10700.417914529904,5906.51884473445,3823.5644732785554,9510.416025641018,4919.048657793771,3120.966790122366,0.0,2.8,0.0,0.0,370.42866,0.0,100051
75477.13216209748,58336.50952769673,42777.56104164751,11424.426912305518,7095.5362046884875,5042.15046169019,10237.778779349364,6111.870560029113,4298.76698314955,0.0,1.375,1.0,0.0,94.0856795454545,96.52384462809908,100052
,30049.525390624953,28524.321895999572,,2966.42629660087,2508.1328949095,,2354.8058333333297,1981.4242652149314,,0.0,0.0,,0.0,0.0,100053
,51896.82338644405,35223.67215560749,,3172.205143038123,2072.533132600934,,2516.3215954190778,1644.4299749571662,,0.0,0.0,,0.0,0.0,100054
52756.06447692306,39582.848281844796,22773.97522553601,8820.105,5879.665317518672,3174.068992448508,7560.105,4996.496507703078,2571.451430335713,0.0,0.0,0.0,0.0,0.0,0.0,100055
62075.67341094979,47293.78547067282,28865.971920823253,11403.307380021273,7982.107796052732,4515.759251779043,10197.247668847043,6962.457184423398,3827.9503997525962,0.0,0.0,0.0,0.0,0.0,0.0,100057
51391.95467523866,38028.804161563334,28657.426034895172,8730.720769159656,6224.831407164642,4558.856149136433,7686.368878714917,5323.918906252643,3880.9767866881093,0.0,0.0,0.0,0.0,0.0,0.0,10006
67764.98039711021,67137.12648657784,48253.87568593105,11227.91261306165,9228.627551164609,5941.316184457121,10076.229282459817,8181.058510668663,5146.144072947314,1.5,6.333333333333333,0.0,122.29491458333324,197.885813933873,0.0,100062
41373.968022186134,47418.041591806716,23682.719056242327,7895.330260416667,6017.51814117647,3124.8691452745966,6644.050572916666,5142.599906535945,2501.6294724995028,0.0,0.0,0.0,0.0,0.0,0.0,100063
63760.45744233733,55612.73599637054,38221.2167068332,11008.121428058294,8000.225148094899,5069.000046657147,9925.637016112481,6979.038500437713,4330.553669814521,0.0,0.0,1.5,0.0,0.0,81.309115151515,100067
59709.97259512707,51859.11109723362,35498.22813698229,11660.213270541377,9442.458176647226,6206.42837010584,10515.507936882954,8355.061435034548,5369.113828567426,0.0,0.0,0.0,0.0,0.0,0.0,100068
104813.3060113957,38828.29475223014,32393.705659268275,16427.876666666667,3973.41585425101,3013.938251223866,15167.876666666665,3171.9921376518205,2438.5615889012824,0.0,10.5,2.8,0.0,655.235,136.13824,100069
,10757.557198190252,7650.772692091476,,2549.5766666666664,1963.6504092269201,,2031.37,1560.6783787691465,,0.0,0.0,,0.0,0.0,10007
108342.86736707509,83166.45859666412,61780.06025159235,10961.748520280813,8466.931950776441,5663.65541408191,9822.647116005432,7373.965817455049,4877.8738369692655,0.0,0.0,0.0,0.0,0.0,0.0,100070
90012.95706539073,80939.95733016964,68259.50763684059,7106.420454545453,5482.6809585476085,3582.971097975882,5956.798787878787,4552.250574324686,2896.0385856871,0.0,0.0,0.0,0.0,0.0,0.0,100071
41877.4018055555,28368.454845175063,20178.29208195905,7240.509999999999,4869.321993486152,3354.247788963814,6117.903333333333,3948.9168379825987,2729.169507995155,0.0,6.0,3.4545454545454546,0.0,428.0993888888867,142.96802679425818,100072
65996.33735604651,44676.07360822129,31026.801694295697,13590.735413451956,8606.934327409788,5529.196579739329,12391.158931524244,7521.975506331187,4776.784770723539,0.0,4.571428571428571,4.066666666666666,0.0,192.54383750000002,155.338707124332,100073
59361.00083472412,52357.724143997875,36256.94223661149,10626.564178950544,7558.337784973531,4836.958571695409,9449.155003749582,6528.175959314404,4095.757119374245,2.857142857142857,6.9,3.8823529411764706,203.99309,519.3899749883432,163.46550347144353,100075
147975.73294192634,136904.4109410971,81999.38875757449,11118.811556093879,9591.452978372297,5306.773427489879,9960.875456920323,8486.759443830653,4542.462369896679,0.0,1.2222222222222223,1.3333333333333333,0.0,82.96501818181812,56.568666666666665,100077
68487.38387440112,58916.386722649084,35941.855651604856,8813.3811111111,6008.7879361449895,3310.416257193626,7697.369444444434,5031.57515105727,2690.93264150645,12.5,21.166666666666668,26.61111111111111,871.6235597222201,1673.1984905369864,2072.5565112997256,100079
,9829.269518716519,10154.9926415094,,1728.8726203208498,1762.4957861635198,,1371.2652406417099,1396.0540880503,,14.0,0.0,,1543.3642,0.0,10008
92734.38632677891,79014.00584335998,67511.59883746093,11996.938146816814,10249.075657087064,6793.255443137659,10798.27021220295,9143.79333067188,5965.176967588189,0.0,0.0,1.1764705882352942,0.0,0.0,71.11228764705882,100080
,7140.545508928571,5359.205310374145,,2629.39645535714,1513.2069005101998,,2071.26145535714,1187.9399914965982,,0.0,0.0,,0.0,0.0,100081
40763.12865865295,32388.64474265291,22191.82297230483,11404.975505994325,7927.383808367567,5362.715723518972,10249.179709158301,6879.967619882268,4591.270062908069,0.0,0.0,0.5384615384615384,0.0,0.0,63.615353846153845,100084
25038.230491452952,22424.402255524237,18102.85395098797,6856.387596153845,5329.668540668093,4271.304080797608,5778.331826923075,4390.369804973161,3540.1979609814825,0.0,0.0,0.0,0.0,0.0,0.0,100086
66518.6058212455,61052.70931492113,45243.33547414364,11879.565010336242,9761.333068570897,6793.132936188894,10729.606726771442,8670.11686829227,5954.500912546163,4.916666666666667,13.5,10.407407407407407,361.59934088670894,468.4090159881783,683.2774038311452,100087
