medicare provider number,hospital name,street address,city,state,zip code,"hospital system or, if independent, ipps/cah",is hospital a critical access hospital (y/n)?,"hospital compare 5-star rating (october 2018, na=not available)",number of outpatient services,total private allowed amount for outpatient services ($ millions),simulated medicare allowed amount for outpatient services ($ millions),relative price for outpatient services,standardized price per outpatient service,number of inpatient stays,total private allowed amount for inpatient services ($ millions),simulated medicare allowed amount for inpatient services ($ millions),relative price for inpatient services,standardized price per inpatient stay,total private allowed amount for inpatient and outpatient services ($ millions),simulated medicare allowed amount for inpatient and outpatient services ($ millions),relative price for professional inpatient and outpatient services,relative price for inpatient facility services,relative price for outpatient facility services,relative price for inpatient and outpatient services,total private allowed amount for facility inpatient and outpatient services ($ millions),simulated medicare allowed amount for facility inpatient and outpatient services ($ millions),total private allowed amount for professional inpatient and outpatient services ($ millions),simulated medicare allowed amount for professional inpatient and outpatient services ($ millions),"hospital compare 5-star rating (october 2018, n/a = not available)",Total Discharges,Total Discharges.1,Total Discharges.2,Average Covered Charges,Average Covered Charges.1,Average Covered Charges.2,Average Total Payments,Average Total Payments.1,Average Total Payments.2,Average Medicare Payments,Average Medicare Payments.1,Average Medicare Payments.2,Average Estimated Total Submitted Charges,Average Estimated Total Submitted Charges.1,Average Estimated Total Submitted Charges.2,Average Medicare Allowed Amount,Average Medicare Allowed Amount.1,Average Medicare Allowed Amount.2,Average Medicare Payment Amount,Average Medicare Payment Amount.1,Average Medicare Payment Amount.2,Outlier Comprehensive APC Services,Outlier Comprehensive APC Services.1,Outlier Comprehensive APC Services.2,Average Medicare Outlier Amount,Average Medicare Outlier Amount.1,Average Medicare Outlier Amount.2,Revenue from sale of medical and surgical supplies to other than patients [other_income_supplies_nonpat],Revenue from sale of drugs to other than patients [other_income_drugs_nonpat],"Tuition (fees, sale of textbooks, uniforms, etc.) [other_income_tuition]","Revenue from gifts, flowers, coffee shops, and canteen [other_income_gifts]",Rental of vending machines [other_income_vending],Governmental appropriations [other_income_govt_approp],Revenues from State and local indigent care programs (2552-96 only) [revs_uncomp_stloc_indig_only96],Revenues related to SCHIP (2552-96 only) [revs_uncomp_schip_only96],"Restricted grants for Uncompensated care, Medicaid, and SCHIP (2552-96 only) [revs_uncomp_rstrgrants_only96]","Non-restricted grants for Uncompensated care, Medicaid, and SCHIP (2552-96 only) [revs_uncomp_nonrstrgrants_only96]",Charges for patients covered under state or local indigent care program [stloc_indigent_charges],State or local indigent care program cost [stloc_indigent_costs],Stand-alone SCHIP charges [schip_charges],Stand-alone SCHIP cost [schip_costs],"Inpatient days, Medicare skilled nursing facility swing beds [mdcr_snf_swingbed_inpat_days]","Inpatient days, skilled nursing facility swing beds [all_snf_swingbed_inpat_days]","Inpatient days, nursing facility swing beds [all_nf_swingbed_inpat_days]","Inpatient days, other specialty care units [all_oth_spec_care_inpat_days]","Inpatient days, coronary care unit [all_coronary_care_inpat_days]","Inpatient days, burn intensive care unit [all_burn_icu_inpat_days]","Inpatient days, surgical intensive care unit [all_surgical_ic_inpat_days]",Revenue from rental of living quarters [other_income_livingrental],Revenue from laundry and linen service [other_income_laundry],Parking lot receipts [other_income_parking],Rebates and refunds of expenses [other_income_rebates],Nursing and allied health managed care payment [mdcr_ipps_nurs_mgdcare_pymts],Net organ acquisition cost [mdcr_ipps_net_organ_cost],Cost of teaching physicians [mdcr_ipps_teach_phys_cost],Routine service other pass through costs [mdcr_ipps_routine_passthru_cost],medicare provider number.1
010001,"Southeast Alabama Medical
Center",1108 Ross Clark Circle,Dothan,AL,36301,Southeast Health,N,2,54,0.11,0.09,122,92.34,,,,,,,,,,110%,,,,,,,44.75925925925926,44.333333333333336,44.14102564102564,44393.74290123457,48931.55767857144,48774.67498756411,9921.481296296291,10071.632321428575,10118.479657801283,8708.045925925922,8917.722321428575,8783.529300173075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010005,"Marshall Medical Center -
South","2505 U S Highway 431
North",Boaz,AL,35957,"Marshall Health
System",N,1,43,0.04,0.02,216,192.11,,,,,,,,,,238%,,,,,,,39.851351351351354,37.76623376623377,38.432432432432435,17973.073783783784,17680.378701298705,19111.36448622973,7479.254729729728,7240.391298701302,7439.8633552297315,6222.3747297297305,5943.038441558442,6131.9290727432435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010006,Eliza Coffee Memorial Hospital,205 Marengo Street,Florence,AL,35631,Lifepoint Health,N,3,118,0.09,0.04,194,149.93,42,0.52,0.21,251,18265,0.61,0.25,137,297%,205%,241,0.51,0.18,0.09,0.07,,41.43801652892562,39.96747967479675,38.90350877192982,49021.147190082665,47697.24642276421,42025.087763859665,9735.518677685948,9997.14235772358,8824.872253912283,8436.41826446281,8724.886422764226,7654.324108219295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010011,St. Vincents East,"50 Medical Park East
Drive",Birmingham,AL,35235,Ascension Health,N,2,30,0.06,0.04,168,130.33,,,,,,,,,,148%,,,,,,,33.427083333333336,32.70103092783505,31.74418604651163,46784.17677083332,50944.709587628866,50868.31965244187,10322.217604166668,11137.687216494847,10964.43316954651,9006.062499999998,9626.093608247424,9328.253760651163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010012,"Dekalb Regional Medical
Center",200 Med Center Drive,Fort Payne,AL,35968,Quorum Health,N,2,18,0.03,0.02,114,94.36,,,,,,,,,,108%,,,,,,,21.375,19.75,22.433333333333334,39501.270312500004,51955.95562499999,50401.757451000005,5893.770937499998,7111.828437499999,6792.508940033333,4751.3953125,6066.252812499998,5646.572906966668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010019,Helen Keller Hospital,"1300 South
Montgomery Avenue",Sheffield,AL,35660,"Huntsville Hospital
Health System",N,3,53,0.1,0.08,117,84.47,,,,,,,,,,106%,,,,,,,38.7,34.85964912280702,38.301886792452834,25120.46183333332,23108.443508771925,21609.361282830185,7037.6345,6308.725789473684,6000.277044735848,5871.846333333334,5158.360350877195,4738.546638037737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010023,Baptist Medical Center South,"2105 East South
Boulevard",Montgomery,AL,36116,Baptist Health,N,2,67,0.06,0.04,149,119.25,,,,,,,,,,142%,,,,,,,35.55769230769231,38.0,34.464285714285715,45079.16307692306,50644.269633027514,46336.16538380359,12449.658461538464,13034.79422018349,12274.550383419642,10928.206442307697,11402.697431192657,10527.926450785715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010024,"Jackson Hospital And Clinic
Inc",1725 Pine Street,Montgomery,AL,36106,Independent (IPPS),N,2,32,0.03,0.03,109,99.38,,,,,,,,,,109%,,,,,,,36.373831775700936,33.91346153846154,32.50515463917526,44936.19570093459,53731.598461538466,50929.654469690744,10069.153084112151,10946.042211538464,9716.303929051546,8814.052056074765,9610.487211538457,8192.049162422683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010029,East Alabama Medical Center,"2000 Pepperell
Parkway",Opelika,AL,36801,"East Alabama Medical
Center",N,4,603,0.98,0.61,160,131.79,37,0.56,0.27,203,13368,1.54,0.89,157,214%,160%,174,1.29,0.73,0.25,0.16,,39.9765625,40.49180327868852,38.91588785046729,21761.129140625002,24735.412049180326,23571.607517009357,10215.214609375005,11400.459918032786,10701.974820644857,9050.359687499998,10071.873770491808,9247.806046971964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010033,University Of Alabama Hospital,619 South 19th Street,Birmingham,AL,35233,UAB Health System,N,2,345,0.93,0.32,291,254.83,46,2.4,0.72,336,36760,3.33,1.04,214,358%,311%,322,2.94,0.85,0.39,0.18,,39.79863481228669,40.717171717171716,41.66420664206642,81683.01894197952,74751.32424242428,89648.26012214023,18541.142116040934,18908.16215488216,21387.566994819183,15621.335358361777,14487.821986531964,15971.021076535053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
