medicare provider number,Revenue from sale of medical and surgical supplies to other than patients [other_income_supplies_nonpat],Revenue from sale of drugs to other than patients [other_income_drugs_nonpat],"Tuition (fees, sale of textbooks, uniforms, etc.) [other_income_tuition]","Revenue from gifts, flowers, coffee shops, and canteen [other_income_gifts]",Rental of vending machines [other_income_vending],Governmental appropriations [other_income_govt_approp],Revenues from State and local indigent care programs (2552-96 only) [revs_uncomp_stloc_indig_only96],Revenues related to SCHIP (2552-96 only) [revs_uncomp_schip_only96],"Restricted grants for Uncompensated care, Medicaid, and SCHIP (2552-96 only) [revs_uncomp_rstrgrants_only96]","Non-restricted grants for Uncompensated care, Medicaid, and SCHIP (2552-96 only) [revs_uncomp_nonrstrgrants_only96]",Charges for patients covered under state or local indigent care program [stloc_indigent_charges],State or local indigent care program cost [stloc_indigent_costs],Stand-alone SCHIP charges [schip_charges],Stand-alone SCHIP cost [schip_costs],"Inpatient days, Medicare skilled nursing facility swing beds [mdcr_snf_swingbed_inpat_days]","Inpatient days, skilled nursing facility swing beds [all_snf_swingbed_inpat_days]","Inpatient days, nursing facility swing beds [all_nf_swingbed_inpat_days]","Inpatient days, other specialty care units [all_oth_spec_care_inpat_days]","Inpatient days, coronary care unit [all_coronary_care_inpat_days]","Inpatient days, burn intensive care unit [all_burn_icu_inpat_days]","Inpatient days, surgical intensive care unit [all_surgical_ic_inpat_days]",Revenue from rental of living quarters [other_income_livingrental],Revenue from laundry and linen service [other_income_laundry],Parking lot receipts [other_income_parking],Rebates and refunds of expenses [other_income_rebates],Nursing and allied health managed care payment [mdcr_ipps_nurs_mgdcare_pymts],Net organ acquisition cost [mdcr_ipps_net_organ_cost],Cost of teaching physicians [mdcr_ipps_teach_phys_cost],Routine service other pass through costs [mdcr_ipps_routine_passthru_cost],medicare provider number
10006,382.49973333,-1852.999558,6618.9984219,118293.66322379875,44421.942760750004,,,,,,,,,,,,,,6719.664517470833,,,64640.48458875,,185911.55840568422,50091.4880526725,16899.32381128333,,,,10006
10029,,,,,,,237990.27887600003,,,,2470341.399185875,1123018.653403375,1094439.3740328571,414714.5255128571,,,,,1419.0085769116665,,,,,,,45620.47873664,,,,10029
10033,,,,,,32464825.06125,,,,,,,3400072.4335480006,731544.5330127999,,,,48286.28785766666,,,37381.154059254164,,,,,2347235.6248957138,12898183.584008334,,3737301.5279083326,10033
10039,351703.2442652183,133309.70807448748,79036.981156,1138934.676409059,180982.7577590588,22947104.430945456,67716.20151009999,1071799.4736174229,0.49999988079999996,0.49999988079999996,872296.0547473334,55771.754645527784,7742707.154789411,1483488.2596982354,,,,11346.439093277779,5646.414597441667,,5588.9564174083325,,69272.98348467499,848400.9659288889,,104518.96468929412,,,,10039
10056,618414.35256,374290.90820199996,31621.492456685144,534929.9932115789,46447.1721128375,,,,,,7044988.5526,2467845.3049,,,,,,7154.4559212125,3645.1653035791674,,,,,530890.0235183333,25744.493862,27074.36747045,,,,10056
10083,48.499962827,1.9999990463250001,,,6158.49679524,440134.87517,3267060.44215,,,,,,2364348.575962,206735.19834509998,36.833313328525,39.69229048171538,,,,,,,,,64545.13926360001,,,,252943.87938499998,10083
10092,,1644417.3736733336,74343.964551,441123.94581,99227.55316666666,2125370.6551,184964.91795990462,317688.41518999997,0.49999976155000003,0.49999976155000003,59508771.624,16135448.3058,2237382.554457778,511127.7815379999,,,,,6652.657402012498,,,,425481.33176,331533.70319666667,,89925.23904295641,,,,10092
10104,,,,,732.999825235,,31767.657779999998,559201.8666749999,,,23575077.941477712,3999855.456419143,2942613.477135,283276.80648100004,,,,5638.330957233334,4549.248527775,,3445.3739103999997,,,120127.23748142857,,9881.282898514286,,,87288.16848040001,10104
10113,,,30445.98377,92249.441284,22511.9973165,264140.147304,,,,,16327455.653639998,4673245.842916,,,,,,1777.9369983791876,3280.1658448675003,,7481.831303929168,132047.31520063637,898919.5363759999,,209541.79392,53548.44962796923,,,15426.331102367614,10113
10131,4957.664783676845,13583.6558704,17892.7405495,55790.97804836666,9337.087039054546,,150252.33172760002,,,,3868534.9251499996,625362.201345,1878788.1313877776,172899.48327622222,,,,,,,,1194.2497152575002,1.99999952315,,1745.3318434333332,9293.995587883333,,,,10131
